 ,CategoryTitle,ActivityTitle,PressureTitle,APJustificationDesc,RPPTitle,RiskFactorDesc,EvidenceStandardDesc,ConfidenceScoreTitle
709,Extraction of living resources,Demersal trawling,Smothering and siltation rate changes (Light),"This pressure may result from physical disturbance of the sediment, along with hydrodynamic action caused by the passage of towed gear, leading to entrainment and suspension of the substrate behind and around the gear components and subsequent siltation [3186],[1419],[3168],[4448],[4407],[4351],[4446],[4451]. The quantity of suspended material, its spatial and temporal persistence and subsequent patterns of deposition will depend on factors associated with the gear (such as type/design, weight, towing speed), sediment (particle size, composition, compactness), the intensity of the activity and the background hydrographic conditions [3186],[4448],[4446],[4451]. Sediment remobilisation and deposition can affect the settlement, feeding, and survival of biota through smothering of feeding and respiratory organs. Prolonged exposure of an area to the pressure may result in changes in sediment composition [3137],[3186],[1419],[4448],[4451]. Further effects are also considered under the pressures: Deoxygenation, Nutrient enrichment and Organic enrichment.",medium-high,,"The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
710,Extraction of living resources,Demersal trawling,Abrasion/disturbance of the substrate on the surface of the seabed,"The pressure results where the gear makes contact with the seafloor. The area affected is determined by the footprint of the gear and the amount of movement across the seabed. The different gear components will make variable contributions to the total physical disturbance of the seabed and its associated biota, and hence the pressure will vary according to factors such as gear type, design/modifications, size and weight, method of operation (including towing speed) and habitat characteristics (e.g. topography) [3168],[3172],[4458]. Towed bottom fishing gears are used to catch species that live in, on or in association with the seabed and therefore are designed to remain in close contact with the seabed. That interaction with the seabed can lead to disturbance of the upper layers of the seabed (e.g. see pressures ‘Siltation rate changes (low’), ‘Changes in suspended solids’); direct removal (e.g. see pressures ‘Removal of target species’, ‘Removal of non-target species’), damage, displacement or death of the benthic flora and fauna; short-term attraction of scavengers; and the alteration of habitat structure (e.g. flattening of wave forms, removal of rock, removal of structural organisms) [3137],[1419],[1436],[4471],[4448]. As a relative comparison of gear types, otter trawls tend to have less physical impact on the seafloor than beam trawls (and dredges) with their heavy tickler chains, although the doors of an otter trawl do create recognisable scour of the seabed [4452],[3172],[3168],[4364]. The magnitude of the immediate response to fishing disturbance, cumulative effects and recovery times varies significantly according to factors such as the type of fishing gear and fishing intensity, the habitat and sediment type, levels of natural disturbance and among different taxa [4471],[4472],[4473],[4410],[3137].",medium-high,,"The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
711,Extraction of living resources,Demersal trawling,Physical change (to another seabed type),"Mobile fishing gear is one of the best known sources of anthropogenic degradation of seabed habitat and associated benthic communities (see 'Abrasion' pressure). Whilst the physical damage caused by persistent interaction with bottom towed gear could result in loss of certain sensitive habitats such as seagrass, the change is unlikely to be permanent if the activity were to cease, although recovery rates may be slow in some cases. Therefore there may be few examples of where the association between the activity and this particular pressure is actually realised, but it should be taken into consideration [3137],[4448].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). High levels of discarding associated with the fishing activity combined with low flow conditions may increase the magnitude of this pressure.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
712,Extraction of living resources,Demersal trawling,Physical change (to another sediment type),"Mobile fishing gear is one of the best known sources of anthropogenic degradation of seabed habitat and associated benthic communities (see 'Abrasion' pressure). Whilst the physical damage caused by persistent interaction with bottom towed gear could result in loss of certain sensitive habitats such as seagrass, the change is unlikely to be permanent if the activity were to cease, although recovery rates may be slow in some cases. Therefore there may be few examples of where the association between the activity and this particular pressure is actually realised, but it should be taken into consideration [3137],[4448].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). High levels of discarding associated with the fishing activity combined with low flow conditions may increase the magnitude of this pressure.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
713,Extraction of living resources,Demersal trawling,Litter,"Marine litter is items made or used by people and deliberately discarded or unintentionally lost into the sea and on beaches. Despite international legislation such as Annex V of the International Convention for the Prevention of Pollution from Ships, 1973 [3140], maritime activity is still a major source of litter. Fishing is an important source of marine litter. For example, 14 % of the litter identified during the UK Beachwatch survey (2006) was fishing related [3160], net loss in UK fisheries has been estimated at 36 km per year [5103] and surveys across 32 sites in European waters (continental shelves to canyons) found that derelict fishing gear was the second most abundant item encountered (34 % of total) [4459]. Various types of litter result from fishing in general including galley waste, fish boxes, floats/buoys, nets, ropes, lines, pots, weights and micro-plastic particles resulting from disintegration of plastic gear [3160],[3118]. Impacts of such litter include entanglement of marine wildlife including mammals and birds, ingestion and ghost fishing [3202],[3160],[2752],[3096],[5123],[5103]. Ghost gears can also damage benthic habitats (through abrasion, ‘plucking’ of organisms or meshes closing around them, and the translocation of seabed features) [5103]. Alongside existing legislation, potential mitigation measures are discussed in various sources of literature [2752],[3160],[5103].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text). The risk of introducing new species may also increase with the range of vessel/boat activity – e.g. travelling from locations outside the UK or dredging in areas with known presence of INIS.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
714,Extraction of living resources,Demersal trawling,Underwater noise changes,"Vessel movement is an important source of underwater noise, with noise emitted typically varying with vessel size whereby larger vessels generate lower frequency sound. Although propeller cavitation is the main source of such noise, gear deployment/towing/hauling, turbulence around the hull and the use of fish finding sonars will also result in noise being transmitted underwater by fishing vessels [3152],[3096],[4921]. For example, the source levels associated with small sea going vessels and echosounders are typically 160-180 dB and 235 (Peak) re 1 µPa-m (RMS), respectively [3152]. Underwater noise can result in disturbance particularly to mobile receptors such as fish, birds and mammals [3152],[4921],[2074],[3069],[4869]",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). High levels of discarding associated with the fishing activity combined with low flow conditions may increase the magnitude of this pressure.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
715,Extraction of living resources,Demersal trawling,Introduction of light,"Pressure relates to vessels associated with this sub-activity e.g. operational and navigation lighting. Marine birds are frequently attracted to or become disorientated by artificial light sources, which can result in collision and therefore injury or death [4399],[4476],[4378],[2826]. Disturbance caused by light from vessels may also be of concern, particularly where significant levels of activity occur in close proximity to sensitive bird habitats including coastal inshore waters [3195],[4399]. However there are also concerns about the potential wider impacts of light pollution in the aquatic, particularly coastal, environment on the behaviour, reproduction and survival of marine invertebrates, amphibians and fish [4444].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). High levels of discarding associated with the fishing activity combined with low flow conditions may increase the magnitude of this pressure.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
716,Extraction of living resources,Demersal trawling,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)","Pressure relates to vessels associated with this sub-activity and their movement. Marine birds are frequently attracted to or become disorientated by artificial light sources, which can result in collision and therefore injury or death [4399],[4378],[2826]. Bird collisions with vessels, including fishing vessels [4476],[2826], have been recorded with the risk being greatest at night for lighted ships near coastal areas and when the vessel is relatively close to large breeding aggregations of seabirds (rather than further offshore). However, there are relatively few sources of quantified information relating to seabird strikes on vessels. Nocturnal bird strikes on vessels tend to occur when bright, artificial light sources are used at times of poor visibility, typically during bad weather, often angled outwards or upwards from the vessel [4466],[4378].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text). The risk of introducing new species may also increase with the range of vessel/boat activity – e.g. travelling from locations outside the UK and may also be increased due to presence of foundations and rock armouring","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
717,Extraction of living resources,Demersal trawling,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)","Pressure relates to vessels associated with this sub-activity and their movement. Collision with fishing gear (e.g. nets) can also occur but the consideration of this would be better done through the pressure 'Removal of non-target species'. Vessels are documented to have collided with mobile marine species (particularly mammals).  Almost all vessel sizes and classes have been involved in collisions with marine mammals, including cargo ships, recreational vessels, and research vessels.  Species can collide with the propeller or other parts of the hull.  The most lethal and serious injuries are caused by large ships (e.g. 80 m or longer) and vessels travelling at speeds faster than 14 knots [5120].  Most minor injuries, by contrast, involved collisions with vessels less than 45m long.  Collisions are rarely reported for vessels doing less than 10 km/hour [5120],[4987].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). High levels of discarding associated with the fishing activity combined with low flow conditions may increase the magnitude of this pressure.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
718,Extraction of living resources,Demersal trawling,Above water noise,"Noise arises from many activities in the marine environment which can evoke a disturbance response in marine mammals and birds [2825],[3269],[3227],[2074],[4869]. In relation to fishing, the operation of gear and vessels, as well as presence of people, may result in an increase in above water noise [4352]. However, the magnitude of the pressure will depend on the nature, scale, intensity and duration of the activity. Further, the impact of such disturbance on birds [3202],[2707] may be considered better captured by the pressure 'visual disturbance'.",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). High levels of discarding associated with the fishing activity combined with low flow conditions may increase the magnitude of this pressure.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
719,Extraction of living resources,Demersal trawling,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,"Pressure primarily relates to vessels associated with this sub-activity and their movement, but potentially also mobilisation of contaminated sediments. The primary chemicals of environmental concern in vessel oil and fuel are polycyclic aromatic hydrocarbons (PAHs). Deliberate discharges of oil or oil/water mixtures from ships are prohibited within the North West European Waters Special Area, established by the International Maritime Organization under MARPOL Annex I in 1999. This includes all waters around the UK and its approaches. However, accidental discharges still occur. Information on accidental discharges of oil from ships and offshore platforms is compiled annually by the Advisory Committee on Protection of the Sea (ACOPS) on behalf of the Maritime and Coastguard Agency. Although the majority of incidents are minor, several incidents occur annually that lead to the actual or potential release of significant amounts of oil (typically from large shipping vessels and tankers). Antifouling compounds like tributyltin (TBT; banned on vessels under 25 m in the UK since 1987, however) and copper wash from ship coatings enter and persist in the marine environment, with highest concentrations generally found in heavily used shipping routes or within harbours [3096],[3164],[3155],[2788],[3194],[4985].  Further, sediment disturbance by fishing activities could result in the remobilisation of contaminants/substances [4481],[4448]. However, the likelihood and severity of any impact depends upon factors such as the type and degree of existing contamination, the sediment type and intensity of activity. In many cases, natural disturbance may contribute the majority of contaminated sediment resuspension [4482].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text). The risk of introducing new species may also increase with the range of vessel/boat activity – e.g. travelling from locations outside the UK or dredging in areas with known presence of INIS.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
720,Extraction of living resources,Demersal trawling,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,"Pressure primarily relates to vessels associated with this sub-activity and their movement, but potentially also mobilisation of contaminated sediments. The primary chemicals of environmental concern in vessel oil and fuel are polycyclic aromatic hydrocarbons (PAHs). Deliberate discharges of oil or oil/water mixtures from ships are prohibited within the North West European Waters Special Area, established by the International Maritime Organization under MARPOL Annex I in 1999. This includes all waters around the UK and its approaches. However, accidental discharges still occur. Information on accidental discharges of oil from ships and offshore platforms is compiled annually by the Advisory Committee on Protection of the Sea (ACOPS) on behalf of the Maritime and Coastguard Agency. Although the majority of incidents are minor, several incidents occur annually that lead to the actual or potential release of significant amounts of oil (typically from large shipping vessels and tankers) [3096],[3164],[3194],[4985].  Further, sediment disturbance by fishing activities could result in the remobilisation of contaminants/substances [4481],[4448]. However, the likelihood and severity of any impact depends upon factors such as the type and degree of existing contamination, the sediment type and intensity of activity. In many cases, natural disturbance may contribute the majority of contaminated sediment resuspension [4482].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text). The risk of introducing new species may also increase with the range of vessel/boat activity – e.g. travelling from locations outside the UK or dredging in areas with known presence of INIS.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
721,Extraction of living resources,Demersal trawling,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC.","Pressure primarily relates to vessels associated with this sub-activity and their movement, but potentially also mobilisation of contaminated sediments. The primary chemicals of environmental concern in vessel oil and fuel are polycyclic aromatic hydrocarbons (PAHs). Deliberate discharges of oil or oil/water mixtures from ships are prohibited within the North West European Waters Special Area, established by the International Maritime Organization under MARPOL Annex I in 1999. This includes all waters around the UK and its approaches. However, accidental discharges still occur. Information on accidental discharges of oil from ships and offshore platforms is compiled annually by the Advisory Committee on Protection of the Sea (ACOPS) on behalf of the Maritime and Coastguard Agency. Although the majority of incidents are minor, several incidents occur annually that lead to the actual or potential release of significant amounts of oil (typically from large shipping vessels and tankers). Antifouling compounds like tributyltin (TBT; banned on vessels under 25 m in the UK since 1987, however) and copper wash from ship coatings enter and persist in the marine environment, with highest concentrations generally found in heavily used shipping routes or within harbours [3096],[3164],[3155],[2788],[3194],[4985].  Further, sediment disturbance by fishing activities could result in the remobilisation of contaminants/substances [4481],[4448]. However, the likelihood and severity of any impact depends upon factors such as the type and degree of existing contamination, the sediment type and intensity of activity. In many cases, natural disturbance may contribute the majority of contaminated sediment resuspension [4482].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text). The risk of introducing new species may also increase with the range of vessel/boat activity – e.g. travelling from locations outside the UK or dredging in areas with known presence of INIS.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
722,Extraction of living resources,Demersal trawling,Nutrient enrichment,"This pressure may result from disturbance and resuspension of the sediment in the wake of towed gears [3186],[4407],[4446], which can trigger considerable productivity pulses due to the rate of release of dissolved and particulate nutrients and have consequences for biogeochemical cycling  [3172],[4448],[4449],[4450]. The spatial and temporal persistence of any change will depend on factors such as the gear type and intensity of the activity, levels of natural disturbance and primary production, and the type/composition of the substrate and biota (including abundance of filter feeders) [4446],[5121],[4449],[4450].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
723,Extraction of living resources,Demersal trawling,Organic enrichment,"This pressure is associated with sediment mobilisation as well as the deposition of organic matter. The spatial and temporal persistence of any change will depend on factors such as the gear type and intensity of the activity, levels of natural disturbance, temperature and the sediment type/composition, resulting in many changes being relatively short lived and localised [4891],[4899],[4351],[4446]. For fishing, the pressure may result from disturbance of the sediment in the wake of towed gears and resuspension of organic rich sediments [1419],[3186],[1436],[4350],[4407],[4351],[4446],[4899]. Further, organic matter at the surface may be buried within anaerobic subsurface layers [4450]. In fisheries where discards are spatially concentrated, particularly in areas of low current flow, discards may result in localised increases in organic matter and potentially hypoxia or anoxia of the seabed [3120],[3805]. Additionally, ghost fishing associated with lost gear could result in concentrations of organic matter [5103],[5123].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text).","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
724,Extraction of living resources,Diving (incl. removal of living resources),Introduction or spread of invasive non-indigenous species (INIS),"Aquatic organisms may be transferred to new locations as biofouling on vessels and gear and can be harmful and invasive in locations where they do not naturally occur [3164],[3132],[2798],[4338],[4339]. All craft have some biofouling, even if recently cleaned or anti-fouled [4978],[5177]. In addition, this pressure could result from intentional or accidental release of seed stock associated with shellfishery activities [4348].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity - including in relation to the size of the water body, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). More specifically, the risk of this pressure will increase where acoustic deterrents are deployed for prolonged periods of time in migratory channels for fish species.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
725,Extraction of living resources,Demersal trawling,Deoxygenation,"This pressure is associated with sediment mobilisation as well as the deposition of organic matter. The spatial and temporal persistence of any change will depend on factors such as the gear type and intensity of the activity, levels of natural disturbance, temperature and the sediment type/composition, resulting in many changes being relatively short lived and localised [4891],[4899],[4351],[4446]. Resuspension of organic rich sediments in the wake of towed gears can result in localised removal of oxygen in the water column or more anoxic conditions in the remaining substrate [1419],[3186],[1436],[4350],[4407],[4351],[4446],[4448],[4899]. Further, organic matter at the surface may be buried within anaerobic subsurface layers or conversely anaerobic sediments may be exposed to aerobic conditions by such mixing [4450]. In fisheries where discards are spatially concentrated, particularly in areas of low current flow, discards may cause localized hypoxia or anoxia of the seabed [3120],[3805]. Additionally, ghost fishing associated with lost gear could result in concentrations of organic matter [5103],[5123].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice  (see Activity-Pressure justification text).","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
726,Extraction of living resources,Demersal seine netting,Visual disturbance,"The movement of vessels and people, as well as that of gear, can create visual stimuli which can evoke a disturbance response in mobile species such as fish, marine mammals, seabirds and coastal birds. However, the magnitude of the pressure will depend on the nature, scale, intensity and duration of the activity, plus other factors such as species present and age, weather conditions and degree of habituation to disturbance source [3134],[2497],[3202],[2825],[3269],[2707],[5106],[4977].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). High levels of discarding associated with the fishing activity combined with low flow conditions may increase the magnitude of this pressure.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
727,Extraction of living resources,Demersal seine netting,Introduction or spread of invasive non-indigenous species (INIS),"Aquatic organisms may be transferred to new locations as biofouling on vessels and gear and can be harmful and invasive in locations where they do not naturally occur [3164],[3132],[2798],[4338],[4339]. All craft have some biofouling, even if recently cleaned or anti-fouled [4978],[5177].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity - including in relation to the size of the water body, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). More specifically, the risk of this pressure will increase where acoustic deterrents are deployed for prolonged periods of time in migratory channels for fish species.","The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
728,Extraction of living resources,Demersal seine netting,Removal of target species,"Demersal seines, including the use of anchor/Danish seines and Scottish seines, target commercially valuable species including demersal fish and flatfish.  Incidental non target catch may also be retained as part of targeted fisheries due to its commercial value e.g. lobster (Homarus gammarus) and crabs. These species may be considered part of the wider community associated with features or sub-features of designated sites [1419],[1436],[4362].",medium-high,,"The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
729,Extraction of living resources,Demersal seine netting,Removal of non-target species,"Bycatch (i.e. discarded catch) is associated with almost all fishing activities and is related to factors such as the gear type and its design (i.e. its selectivity), the targeted species and effort. There are significant concerns over the impacts of discards on marine ecosystems, including changes in population abundance and demographics of affected species and altered species assemblages and food web structures [4408],[3137]. However, discards also provide important food resources for some scavenging species, including seabirds [4467],[4468]. As with other benthic towed gears, discarding of fish species from demersal seine net fisheries can be significant [3172],[4358]. There are relatively few studies of the non-fish bycatch composition, however, it is probably similar to that of demersal trawls e.g. crustaceans and other invertebrates, etc, although quantities of such bycatch are likely to be lower than that of other gear types such as beam trawls [4458],[4358],[4359],[4360].",medium-high,,"The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
730,Extraction of living resources,Demersal seine netting,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion","The pressure results where the gear makes contact with the seafloor. The area affected is determined by the footprint of the gear and the amount of movement across the seabed. The different gear components will make variable contributions to the total physical disturbance of the seabed and its associated biota, and hence the pressure will vary according to factors such as gear type, design/modifications, size and weight, method of operation (including towing speed) and habitat characteristics (e.g. topography) [3168],[3172],[4458]. Towed bottom fishing gears are used to catch species that live in, on or in association with the seabed and therefore are designed to remain in close contact with the seabed. That interaction with the seabed can lead to disturbance of the upper layers of the seabed (e.g. see pressures ‘Siltation rate changes (low’), ‘Changes in suspended solids’); direct removal (e.g. see pressures ‘Removal of target species’, ‘Removal of non-target species’), damage, displacement or death of the benthic flora and fauna; short-term attraction of scavengers; and the alteration of habitat structure (e.g. flattening of wave forms, removal of rock, removal of structural organisms) [3137],[1419],[1436],[4471],[4448]. Benthic seines are generally of lighter construction as there are no trawl doors or warps, resulting in less disturbance of the seabed than trawling [3172],[4359],[4458]. The magnitude of the immediate response to fishing disturbance, cumulative effects and recovery times varies significantly according to factors such as the type of fishing gear and fishing intensity, the habitat and sediment type, levels of natural disturbance and among different taxa [4471],[4472],[4473],[4410],[3137].",medium-high,,"The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
731,Extraction of living resources,Diving (incl. removal of living resources),Removal of target species,"Species including fish, shellfish and seaweed are directly removed by divers as a result of a targeted fishery. These include species which themselves are features of conservation importance (e.g. spiny lobster (Palinurus elephas)), or those that form part of the biotope (e.g. shellfish species) or wider community composition associated with designated features/sub-features (e.g. spiny lobster (Palinurus elephas), crabs, lobsters (Homarus gammarus), scallops (Pecten spp.) and other bivalves including razor clams (Ensis spp.)) [1419],[1436],[4362].",medium-high,,"The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
732,Extraction of living resources,Demersal seine netting,Changes in suspended solids (water clarity),"This pressure may result from physical disturbance of the sediment, along with hydrodynamic action caused by the passage of towed gear, leading to entrainment and suspension of the substrate behind and around the gear components [3186],[1419],[3168],[4448],[4407],[4351],[4446],[4451]. The quantity of suspended material and its spatial and temporal persistence will depend on factors associated with the gear (such as type/design, weight, towing speed), sediment (particle size, composition, compactness), the intensity of the activity and the background hydrographic conditions [3186],[4448],[4446],[4451]. Turbid plumes can reduce light levels and smother feeding and respiratory organs. Prolonged exposure to the pressure may result in changes in sediment composition through suspension and transport of finer material. There are also concerns over resuspension of phytoplankton cysts and copepod eggs [3137],[3186],[1419],[4448],[4451]. Further effects are also considered under the pressures: Deoxygenation, Nutrient enrichment and Organic enrichment.",medium-high,,"The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
733,Extraction of living resources,Demersal seine netting,Smothering and siltation rate changes (Light),"This pressure may result from physical disturbance of the sediment, along with hydrodynamic action caused by the passage of towed gear, leading to entrainment and suspension of the substrate behind and around the gear components and subsequent siltation [3186],[1419],[3168],[4448],[4407],[4351],[4446],[4451]. The quantity of suspended material, its spatial and temporal persistence and subsequent patterns of deposition will depend on factors associated with the gear (such as type/design, weight, towing speed), sediment (particle size, composition, compactness), the intensity of the activity and the background hydrographic conditions [3186],[4448],[4446],[4451]. Sediment remobilisation and deposition can affect the settlement, feeding, and survival of biota through smothering of feeding and respiratory organs. Prolonged exposure of an area to the pressure may result in changes in sediment composition [3137],[3186],[1419],[4448],[4451]. Further effects are also considered under the pressures: Deoxygenation, Nutrient enrichment and Organic enrichment.",medium-high,,"The associated evidence follows NE's evidence standards, particularly for ""Analysis of Evidence"" (NESTND024) and ""Conservation Advice for MPAs"" (NESTND036). See here for more information: http://publications.naturalengland.org.uk/category/3769710",N/A
